lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-03-03 09:00:00+00:00,no2,40,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0115A,1,hours
2020-03-03 10:00:00+00:00,no2,51,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0118A,1,hours
2020-03-03 10:00:00+00:00,no2,28,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0120A,1,hours
2020-03-03 10:00:00+00:00,no2,31,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0124A,1,hours
2020-03-03 10:00:00+00:00,no2,26,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0125A,1,hours
2020-03-03 10:00:00+00:00,no2,24,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES0126A,1,hours
2020-03-03 10:00:00+00:00,no2,5,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1193A,1,hours
2020-03-03 10:00:00+00:00,no2,27,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1422A,1,hours
2020-03-03 10:00:00+00:00,no2,29,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1426A,1,hours
2020-03-03 10:00:00+00:00,no2,20,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1521A,1,hours
2020-03-03 10:00:00+00:00,no2,20,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1525A,1,hours
2020-03-03 10:00:00+00:00,no2,23,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1532A,1,hours
2020-03-02 16:00:00+00:00,no2,11,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1563A,1,hours
2020-03-03 10:00:00+00:00,no2,17,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1564A,1,hours
2020-03-03 10:00:00+00:00,no2,18,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1565A,1,hours
2020-03-03 10:00:00+00:00,no2,17,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1567A,1,hours
2020-03-03 10:00:00+00:00,no2,4,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1568A,1,hours
2020-03-03 09:00:00+00:00,no2,19,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1611A,1,hours
2020-03-03 10:00:00+00:00,no2,8,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1612A,1,hours
2020-03-03 10:00:00+00:00,no2,25,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1613A,1,hours
2020-03-03 10:00:00+00:00,no2,27,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Madrid,ES1645A,1,hours
