,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0584A,no2,29,2.1883,41.48202
1,ES0584A,o3,50,2.1883,41.48202
2,ES0691A,no2,19,2.20452,41.40388
3,ES0692A,pm10,35,2.11497,41.3705
4,ES0692A,no2,14,2.11497,41.3705
5,ES0694A,no2,6,2.0098,41.39216
6,ES0694A,o3,75,2.0098,41.39216
7,ES0694A,pm10,15,2.0098,41.39216
8,ES0971A,no2,9,1.97489,41.45077
9,ES1018A,no2,18,2.0074,41.55611
10,ES1018A,o3,64,2.0074,41.55611
11,ES1125A,no2,27,1.82531,41.73028
12,ES1125A,o3,54,1.82531,41.73028
13,ES1126A,no2,10,1.9212,41.47541
14,ES1135A,o3,69,1.62589,41.57763
15,ES1135A,no2,11,1.62589,41.57763
16,ES1148A,o3,62,2.22224,41.42562
17,ES1148A,pm10,16,2.22224,41.42562
18,ES1148A,no2,23,2.22224,41.42562
19,ES1222A,o3,45,2.44094,41.69127
20,ES1231A,no2,18,2.08898,41.47677
21,ES1231A,o3,63,2.08898,41.47677
22,ES1262A,no2,36,2.10141,41.56118
23,ES1262A,o3,47,2.10141,41.56118
24,ES1275A,no2,26,2.49575,41.68905
25,ES1275A,o3,43,2.49575,41.68905
26,ES1275A,pm10,27,2.49575,41.68905
27,ES1339A,o3,74,1.72125,41.21904
28,ES1339A,no2,6,1.72125,41.21904
29,ES1396A,no2,14,2.1331,41.3788
30,ES1397A,no2,12,2.28727,42.00328
31,ES1397A,o3,73,2.28727,42.00328
32,ES1438A,no2,38,2.15382,41.38534
33,ES1438A,o3,49,2.15382,41.38534
34,ES1453A,no2,35,2.20951,41.44735
35,ES1480A,o3,64,2.15339,41.39874
36,ES1480A,no2,19,2.15339,41.39874
37,ES1551A,no2,14,2.12538,41.51268
38,ES1642A,o3,63,2.23857,41.93567
39,ES1679A,o3,67,2.18742,41.38641
40,ES1679A,no2,16,2.18742,41.38641
41,ES1684A,pm10,17,2.0425,41.49208
42,ES1684A,no2,11,2.0425,41.49208
43,ES1684A,o3,70,2.0425,41.49208
44,ES1773A,no2,1,1.6722,41.20223
45,ES1778A,no2,3,2.35802,41.77934
46,ES1778A,o3,51,2.35802,41.77934
47,ES1814A,no2,61,2.21205,41.54917
48,ES1815A,no2,3,1.68658,41.34682
49,ES1815A,o3,79,1.68658,41.34682
50,ES1816A,no2,48,2.44325,41.54716
51,ES1816A,o3,40,2.44325,41.54716
52,ES1817A,no2,33,2.1838,41.52671
53,ES1817A,pm10,17,2.1838,41.52671
54,ES1851A,o3,75,1.84824,42.09791
55,ES1851A,no2,18,1.84824,42.09791
56,ES1853A,no2,29,1.6177,41.24489
57,ES1856A,no2,16,2.14799,41.42608
58,ES1856A,o3,69,2.14799,41.42608
59,ES1891A,o3,53,2.28712,41.59867
60,ES1891A,pm10,20,2.28712,41.59867
61,ES1891A,no2,32,2.28712,41.59867
62,ES1892A,o3,58,2.23788,41.44398
63,ES1892A,no2,28,2.23788,41.44398
64,ES1899A,no2,4,1.64734,41.3084
65,ES1903A,no2,7,2.01382,41.31348
66,ES1903A,o3,88,2.01382,41.31348
67,ES1910A,no2,5,1.99152,41.30311
68,ES1910A,o3,89,1.99152,41.30311
69,ES1923A,no2,7,2.21758,41.84604
70,ES1923A,o3,76,2.21758,41.84604
71,ES1929A,no2,16,2.09773,41.3215
72,ES1964A,no2,0,2.05739,41.38664
73,ES1983A,no2,10,2.08214,41.32177
74,ES1983A,o3,83,2.08214,41.32177
75,ES1992A,o3,77,2.11515,41.38749
76,ES1992A,no2,7,2.11515,41.38749
77,ES2011A,no2,9,1.99963,41.40077
78,ES2012A,no2,5,1.99052,41.41532
