,id,country,city,cities,location,locations,sourceName,sourceNames,sourceType,sourceTypes,firstUpdated,lastUpdated,parameters,countsByMeasurement,count,coordinates.longitude,coordinates.latitude
0,ES-53,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES0584A,"['Montcada i Reixac (pl. de Lluís Companys)', 'Montcada i Reixac (pl. de Llu�s Companys)', 'ES0584A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13366}, {'parameter': 'no2', 'count': 13041}, {'parameter': 'o3', 'count': 8316}, {'parameter': 'so2', 'count': 13196}]",47919,2.1883,41.48202
1,ES-285,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES0691A,"['Barcelona (el Poblenou)', 'ES0691A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-18 03:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 12775}]",12775,2.20452,41.40388
2,ES-174,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES0692A,"[""l'Hospitalet de Llobregat (av. del Torrent Gornal)"", 'ES0692A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'pm10']","[{'parameter': 'no2', 'count': 12994}, {'parameter': 'pm10', 'count': 6939}]",19933,2.11497,41.3705
3,ES-58,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES0694A,"['Sant Vicenç dels Horts (Ribot - Sant Miquel)', 'Sant Vicen� dels Horts (Ribot - Sant Miquel)', 'ES0694A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'pm10', 'so2']","[{'parameter': 'no2', 'count': 13075}, {'parameter': 'o3', 'count': 11919}, {'parameter': 'pm10', 'count': 7715}, {'parameter': 'so2', 'count': 13214}]",45923,2.0098,41.39216
4,ES-19,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES0971A,"['Sant Andreu de la Barca (CEIP Josep Pla)', 'ES0971A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 12899}]",12899,1.97489,41.45077
5,ES-102,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1018A,"['Terrassa (Pare Alegre)', 'ES1018A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13580}, {'parameter': 'no2', 'count': 12977}, {'parameter': 'o3', 'count': 8238}, {'parameter': 'so2', 'count': 12992}]",47787,2.0074,41.55611
6,ES-82,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1125A,"[""Manresa (pl. d'Espanya)"", 'ES1125A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 5784}, {'parameter': 'no2', 'count': 13065}, {'parameter': 'o3', 'count': 8087}, {'parameter': 'so2', 'count': 13018}]",39954,1.82531,41.73028
7,ES-172,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1126A,"['Martorell (Canyameres - Claret)', 'ES1126A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 12928}]",12928,1.9212,41.47541
8,ES-67,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1135A,"['Igualada (la Masuca)', 'ES1135A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 7648}, {'parameter': 'no2', 'count': 7070}, {'parameter': 'o3', 'count': 2457}, {'parameter': 'so2', 'count': 7164}]",24339,1.62589,41.57763
9,ES-59,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1148A,"['Sant Adrià de Besòs (Olímpic)', 'Sant Adri� de Bes�s (Ol�mpic)', 'ES1148A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'pm10']","[{'parameter': 'no2', 'count': 12822}, {'parameter': 'o3', 'count': 8268}, {'parameter': 'pm10', 'count': 7731}]",28821,2.22224,41.42562
