,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0584A,o3,50,2.1883,41.48202
1,ES0694A,o3,75,2.0098,41.39216
2,ES1018A,o3,64,2.0074,41.55611
3,ES1125A,o3,54,1.82531,41.73028
4,ES1135A,o3,69,1.62589,41.57763
5,ES1148A,o3,62,2.22224,41.42562
6,ES1222A,o3,45,2.44094,41.69127
7,ES1231A,o3,63,2.08898,41.47677
8,ES1262A,o3,47,2.10141,41.56118
9,ES1275A,o3,43,2.49575,41.68905
10,ES1339A,o3,74,1.72125,41.21904
11,ES1397A,o3,73,2.28727,42.00328
12,ES1438A,o3,49,2.15382,41.38534
13,ES1480A,o3,64,2.15339,41.39874
14,ES1642A,o3,63,2.23857,41.93567
15,ES1679A,o3,67,2.18742,41.38641
16,ES1684A,o3,70,2.0425,41.49208
17,ES1778A,o3,51,2.35802,41.77934
18,ES1815A,o3,79,1.68658,41.34682
19,ES1816A,o3,40,2.44325,41.54716
20,ES1851A,o3,75,1.84824,42.09791
21,ES1856A,o3,69,2.14799,41.42608
22,ES1891A,o3,53,2.28712,41.59867
23,ES1892A,o3,58,2.23788,41.44398
24,ES1903A,o3,88,2.01382,41.31348
25,ES1910A,o3,89,1.99152,41.30311
26,ES1923A,o3,76,2.21758,41.84604
27,ES1983A,o3,83,2.08214,41.32177
28,ES1992A,o3,77,2.11515,41.38749
