,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0584A,no2,29,2.1883,41.48202
1,ES0691A,no2,19,2.20452,41.40388
2,ES0692A,no2,14,2.11497,41.3705
3,ES0694A,no2,6,2.0098,41.39216
4,ES0971A,no2,9,1.97489,41.45077
5,ES1018A,no2,18,2.0074,41.55611
6,ES1125A,no2,27,1.82531,41.73028
7,ES1126A,no2,10,1.9212,41.47541
8,ES1135A,no2,11,1.62589,41.57763
9,ES1148A,no2,23,2.22224,41.42562
10,ES1231A,no2,18,2.08898,41.47677
11,ES1262A,no2,36,2.10141,41.56118
12,ES1275A,no2,26,2.49575,41.68905
13,ES1339A,no2,6,1.72125,41.21904
14,ES1396A,no2,14,2.1331,41.3788
15,ES1397A,no2,12,2.28727,42.00328
16,ES1438A,no2,38,2.15382,41.38534
17,ES1453A,no2,35,2.20951,41.44735
18,ES1480A,no2,19,2.15339,41.39874
19,ES1551A,no2,14,2.12538,41.51268
20,ES1679A,no2,16,2.18742,41.38641
21,ES1684A,no2,11,2.0425,41.49208
22,ES1773A,no2,1,1.6722,41.20223
23,ES1778A,no2,3,2.35802,41.77934
24,ES1814A,no2,61,2.21205,41.54917
25,ES1815A,no2,3,1.68658,41.34682
26,ES1816A,no2,48,2.44325,41.54716
27,ES1817A,no2,33,2.1838,41.52671
28,ES1851A,no2,18,1.84824,42.09791
29,ES1853A,no2,29,1.6177,41.24489
30,ES1856A,no2,16,2.14799,41.42608
31,ES1891A,no2,32,2.28712,41.59867
32,ES1892A,no2,28,2.23788,41.44398
33,ES1899A,no2,4,1.64734,41.3084
34,ES1903A,no2,7,2.01382,41.31348
35,ES1910A,no2,5,1.99152,41.30311
36,ES1923A,no2,7,2.21758,41.84604
37,ES1929A,no2,16,2.09773,41.3215
38,ES1964A,no2,0,2.05739,41.38664
39,ES1983A,no2,10,2.08214,41.32177
40,ES1992A,no2,7,2.11515,41.38749
41,ES2011A,no2,9,1.99963,41.40077
42,ES2012A,no2,5,1.99052,41.41532
