lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0584A,1,hours
2020-03-06 19:00:00+00:00,co,200,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0584A,1,hours
2020-03-06 19:00:00+00:00,no2,29,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0584A,1,hours
2020-03-06 19:00:00+00:00,o3,50,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0584A,1,hours
2020-03-06 19:00:00+00:00,no2,19,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0691A,1,hours
2020-03-06 19:00:00+00:00,pm10,35,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0692A,1,hours
2020-03-06 19:00:00+00:00,no2,14,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0692A,1,hours
2020-03-06 19:00:00+00:00,no2,6,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0694A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0694A,1,hours
2020-03-06 19:00:00+00:00,o3,75,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0694A,1,hours
2020-03-06 19:00:00+00:00,pm10,15,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0694A,1,hours
2020-03-06 19:00:00+00:00,no2,9,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES0971A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1018A,1,hours
2020-03-06 19:00:00+00:00,no2,18,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1018A,1,hours
2020-03-06 19:00:00+00:00,o3,64,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1018A,1,hours
2020-03-06 19:00:00+00:00,co,200,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1018A,1,hours
2018-07-31 11:00:00+00:00,co,300,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1125A,1,hours
2020-03-06 19:00:00+00:00,no2,27,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1125A,1,hours
2020-03-06 19:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1125A,1,hours
2020-03-06 19:00:00+00:00,o3,54,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1125A,1,hours
2020-03-06 19:00:00+00:00,no2,10,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1126A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1135A,1,hours
2020-03-06 19:00:00+00:00,o3,69,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1135A,1,hours
2020-03-06 19:00:00+00:00,co,300,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1135A,1,hours
2020-03-06 19:00:00+00:00,no2,11,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1135A,1,hours
2020-03-06 19:00:00+00:00,o3,62,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1148A,1,hours
2020-03-06 19:00:00+00:00,pm10,16,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1148A,1,hours
2020-03-06 19:00:00+00:00,no2,23,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1148A,1,hours
2020-03-06 19:00:00+00:00,o3,45,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1222A,1,hours
2020-03-06 19:00:00+00:00,no2,18,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1231A,1,hours
2020-03-06 19:00:00+00:00,o3,63,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1231A,1,hours
2020-03-06 19:00:00+00:00,no2,36,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1262A,1,hours
2020-03-06 19:00:00+00:00,o3,47,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1262A,1,hours
2020-03-06 19:00:00+00:00,no2,26,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1275A,1,hours
2020-03-06 19:00:00+00:00,o3,43,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1275A,1,hours
2020-03-06 19:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1275A,1,hours
2020-03-06 19:00:00+00:00,pm10,27,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1275A,1,hours
2020-03-06 19:00:00+00:00,co,200,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1339A,1,hours
2020-03-06 19:00:00+00:00,o3,74,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1339A,1,hours
2020-03-06 19:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1339A,1,hours
2020-03-06 19:00:00+00:00,no2,6,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1339A,1,hours
2020-03-06 19:00:00+00:00,no2,14,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1396A,1,hours
2020-03-06 19:00:00+00:00,no2,12,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1397A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1397A,1,hours
2020-03-06 19:00:00+00:00,o3,73,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1397A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1438A,1,hours
2020-03-06 19:00:00+00:00,no2,38,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1438A,1,hours
2020-03-06 19:00:00+00:00,o3,49,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1438A,1,hours
2020-03-06 19:00:00+00:00,co,400,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1438A,1,hours
2020-03-06 19:00:00+00:00,no2,35,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1453A,1,hours
2020-03-06 19:00:00+00:00,o3,64,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1480A,1,hours
2020-03-06 19:00:00+00:00,no2,19,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1480A,1,hours
2020-03-06 19:00:00+00:00,co,200,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1480A,1,hours
2020-03-06 19:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1480A,1,hours
2020-03-06 19:00:00+00:00,no2,14,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1551A,1,hours
2020-03-06 19:00:00+00:00,o3,63,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1642A,1,hours
2020-03-06 19:00:00+00:00,o3,67,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1679A,1,hours
