,location,parameter,value,country,city,latitude,longitude,date,spot
0,ES0584A,o3,9,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
1,ES0584A,o3,25,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
2,ES0584A,o3,62,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
3,ES0584A,o3,63,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
4,ES0584A,o3,67,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
5,ES0584A,o3,65,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
6,ES0584A,o3,66,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
7,ES0584A,o3,58,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
8,ES0584A,o3,36,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
9,ES0584A,o3,52,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
10,ES0584A,o3,68,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
11,ES0584A,o3,71,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-12:00:00,Montcada i Reixac (pl. de Lluís Companys)
12,ES0584A,o3,72,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-13:00:00,Montcada i Reixac (pl. de Lluís Companys)
13,ES0584A,o3,74,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-14:00:00,Montcada i Reixac (pl. de Lluís Companys)
14,ES0584A,o3,74,ES,Barcelona,41.482016278467,2.188296656,2020_03_01-15:00:00,Montcada i Reixac (pl. de Lluís Companys)
