CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019054_10_20200201,8019054,8,19,54,Barcelona (Parc Vall Hebron),Barcelona,41.42611,2.1480017,136,background,urban,10,PM10,µg/m3,08019054_10_47,2020,2,1,01/02/2020,7,V,7,V,7,V,8,V,3,V,2,V,2,V,2,V,2,V,5,V,6,V,8,V,7,V,8,V,7,V,4,V,14,V,17,V,18,V,23,V,29,V,25,V,22,V,24,V,"(41.42611, 2.1480017)"
08263001_10_20200201,8263001,8,263,1,Sant Vicenç dels Horts (Ribot),Sant Vicenç dels Horts,41.39219,2.0097985,38,background,suburban,10,PM10,µg/m3,08263001_10_47,2020,2,1,01/02/2020,32,V,32,V,28,V,26,V,22,V,19,V,19,V,25,V,36,V,37,V,37,V,38,V,38,V,26,V,16,V,11,V,15,V,23,V,25,V,29,V,31,V,31,V,32,V,33,V,"(41.39219, 2.0097985)"
17001002_14_20200201,17001002,17,1,2,Agullana,Agullana,42.392002,2.8420997,214,background,rural,14,O3,µg/m3,17001002_14_6,2020,2,1,01/02/2020,34,V,32,V,34,V,33,V,23,V,27,V,25,V,23,V,48,V,54,V,55,V,57,V,61,V,61,V,68,V,71,V,59,V,34,V,28,V,32,V,31,V,31,V,35,V,38,V,"(42.392002, 2.8420997)"
08022006_8_20200201,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,8,NO2,µg/m3,08022006_8_8,2020,2,1,01/02/2020,16,V,10,V,9,V,7,V,6,V,5,V,7,V,8,V,11,V,14,V,15,V,13,V,11,V,10,V,10,V,10,V,12,V,21,V,33,V,20,V,15,V,17,V,12,V,10,V,"(42.0979, 1.8482014)"
25051001_10_20200201,25051001,25,51,1,Bellver de Cerdanya,Bellver de Cerdanya,42.368282,1.7767994,1060,background,rural,10,PM10,µg/m3,25051001_10_47,2020,2,1,01/02/2020,23,V,18,V,17,V,15,V,14,V,13,V,10,V,11,V,14,V,14,V,17,V,19,V,13,V,9,V,5,V,6,V,6,V,7,V,9,V,9,V,29,V,44,V,39,V,37,V,"(42.368282, 1.7767994)"
08169008_8_20200201,8169008,8,169,8,El Prat de Llobregat (Jardins de la Pau),"Prat de Llobregat, el",41.321487,2.0977015,5,background,suburban,8,NO2,µg/m3,08169008_8_8,2020,2,1,01/02/2020,50,V,43,V,40,V,37,V,32,V,30,V,31,V,34,V,34,V,39,V,42,V,46,V,35,V,28,V,21,V,27,V,20,V,46,V,69,V,68,V,67,V,63,V,66,V,56,V,"(41.321487, 2.0977015)"
08102005_14_20200201,8102005,8,102,5,Igualada,Igualada,41.5784,1.6230061,311,industrial,suburban,14,O3,µg/m3,08102005_14_6,2020,2,1,01/02/2020,4,V,3,V,3,V,2,V,2,V,3,V,3,V,4,V,5,V,13,V,33,V,38,V,45,V,47,V,50,V,50,V,48,V,39,V,13,V,4,V,2,V,3,V,3,V,3,V,"(41.5784, 1.6230061)"
08305006_14_20200201,8305006,8,305,6,Vilafranca del Penedès,Vilafranca del Penedès,41.346813,1.6865987,192,background,suburban,14,O3,µg/m3,08305006_14_6,2020,2,1,01/02/2020,2,V,2,V,2,V,4,V,2,V,4,V,3,V,2,V,2,V,11,V,40,V,41,V,43,V,45,V,53,V,55,V,53,V,50,V,25,V,10,V,2,V,2,V,2,V,2,V,"(41.346813, 1.6865987)"
43014001_10_20200201,43014001,43,14,1,Amposta,Amposta,40.706703,0.5817011,8,background,suburban,10,PM10,µg/m3,43014001_10_47,2020,2,1,01/02/2020,12,V,10,V,4,V,4,V,4,V,20,V,12,V,7,V,10,V,17,V,40,V,64,V,34,V,10,V,7,V,5,V,5,V,6,V,11,V,19,V,20,V,21,V,23,V,18,V,"(40.706703, 0.5817011)"
08019057_14_20200201,8019057,8,19,57,Barcelona (Palau Reial),Barcelona,41.38749,2.1151996,81,background,urban,14,O3,µg/m3,08019057_14_6,2020,2,1,01/02/2020,2,V,3,V,19,V,23,V,3,V,4,V,24,V,43,V,43,V,44,V,28,V,31,V,41,V,49,V,54,V,51,V,31,V,22,V,6,V,2,V,2,V,2,V,2,V,3,V,"(41.38749, 2.1151996)"
