CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019004_10_20200208,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,8,08/02/2020,21,V,19,V,21,V,22,V,20,V,22,V,23,V,28,V,32,V,36,V,37,V,29,V,24,V,27,V,25,V,25,V,25,V,24,V,25,V,27,V,27,V,32,V,42,V,37,V,"(41.40388, 2.204501)"
08019004_10_20200224,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,24,24/02/2020,26,V,27,V,28,V,26,V,26,V,26,V,29,V,36,V,47,V,64,V,68,V,57,V,61,V,49,V,39,V,35,V,32,V,44,V,40,V,37,V,31,V,42,V,43,V,43,V,"(41.40388, 2.204501)"
08019004_10_20200229,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,29,29/02/2020,24,V,25,V,28,V,30,V,29,V,31,V,42,V,53,V,60,V,69,V,86,V,117,V,126,V,114,V,108,V,100,V,96,V,95,V,95,V,109,V,108,V,92,V,95,V,108,V,"(41.40388, 2.204501)"
08019004_10_20200227,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,27,27/02/2020,24,V,25,V,24,V,25,V,25,V,21,V,14,V,22,V,16,V,26,V,23,V,33,V,31,V,43,V,37,V,49,V,58,V,62,V,58,V,65,V,49,V,26,V,23,V,24,V,"(41.40388, 2.204501)"
08019004_10_20200226,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,26,26/02/2020,32,V,36,V,36,V,29,V,26,V,34,V,20,V,16,V,17,V,28,V,36,V,34,V,26,V,37,V,46,V,70,V,61,V,57,V,69,V,42,V,27,V,28,V,30,V,27,V,"(41.40388, 2.204501)"
08019004_10_20200228,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,28,28/02/2020,27,V,22,V,19,V,24,V,23,V,27,V,58,V,43,V,53,V,62,V,46,V,41,V,36,V,29,V,26,V,31,V,29,V,33,V,32,V,31,V,30,V,33,V,31,V,29,V,"(41.40388, 2.204501)"
08019004_10_20200225,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,25,25/02/2020,38,V,38,V,34,V,32,V,31,V,32,V,36,V,48,V,59,V,82,V,85,V,64,V,35,V,29,V,24,V,27,V,30,V,33,V,32,V,30,V,28,V,26,V,31,V,27,V,"(41.40388, 2.204501)"
08019004_10_20200210,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,10,10/02/2020,25,V,20,V,25,V,20,V,17,V,21,V,21,V,27,V,32,V,42,V,28,V,28,V,29,V,23,V,16,V,14,V,18,V,37,V,41,V,39,V,41,V,39,V,44,V,46,V,"(41.40388, 2.204501)"
08019004_10_20200209,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,9,09/02/2020,35,V,36,V,36,V,32,V,34,V,33,V,30,V,28,V,29,V,30,V,33,V,41,V,33,V,34,V,34,V,28,V,28,V,23,V,27,V,26,V,24,V,25,V,27,V,29,V,"(41.40388, 2.204501)"
08019004_10_20200201,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,1,01/02/2020,40,V,24,V,21,V,20,V,17,V,17,V,16,V,12,V,7,V,15,V,15,V,18,V,20,V,21,V,11,V,16,V,19,V,17,V,18,V,20,V,24,V,36,V,43,V,46,V,"(41.40388, 2.204501)"
08019004_10_20200202,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,2,2,02/02/2020,30,V,29,V,28,V,27,V,24,V,21,V,17,V,21,V,24,V,21,V,24,V,13,V,9,V,11,V,22,V,19,V,11,V,10,V,17,V,19,V,20,V,24,V,19,V,15,V,"(41.40388, 2.204501)"
