CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08114006_8_20200101,8114006,8,114,6,Martorell,Martorell,41.475384,1.9212021,78,background,suburban,8,NO2,µg/m3,08114006_8_8,2020,1,1,01/01/2020,15.5,V,14.9,V,14.1,V,13.9,V,13.2,V,13.7,V,14.7,V,15.4,V,14.7,V,12,V,11.2,V,14.4,V,14.6,V,14.4,V,16.4,V,21.7,V,29.7,V,46,V,39.4,V,35.2,V,36.6,V,33.4,V,29.3,V,25.2,V,"(41.475384, 1.9212021)"
08022006_10_20200101,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,10,PM10,µg/m3,08022006_10_47,2020,1,1,01/01/2020,17,V,20,V,13,V,11,V,8,V,5,V,7,V,7,V,10,V,15,V,11,V,12,V,14,V,11,V,10,V,12,V,14,V,18,V,26,V,27,V,20,V,16,V,16,V,10,V,"(42.0979, 1.8482014)"
08169009_14_20200101,8169009,8,169,9,El Prat de Llobregat (Sagnier),"Prat de Llobregat, el",41.321774,2.0821,7,background,suburban,14,O3,µg/m3,08169009_14_6,2020,1,1,01/01/2020,26,V,14,V,16,V,22,V,20,V,17,V,19,V,21,V,13,V,18,V,23,V,30,V,33,V,31,V,41,V,53,V,54,V,50,V,31,V,4,V,2,V,2,V,2,V,2,V,"(41.321774, 2.0821)"
17125001_14_20200101,17125001,17,125,1,Pardines,Pardines,42.31196,2.2130551,1226,background,rural,14,O3,µg/m3,17125001_14_6,2020,1,1,01/01/2020,59,V,59,V,63,V,63,V,65,V,65,V,66,V,66,V,67,V,64,V,62,V,62,V,75,V,76,V,69,V,69,V,70,V,61,V,54,V,53,V,53,V,55,V,59,V,65,V,"(42.31196, 2.2130551)"
08114006_10_20200101,8114006,8,114,6,Martorell,Martorell,41.475384,1.9212021,78,background,suburban,10,PM10,µg/m3,08114006_10_47,2020,1,1,01/01/2020,11,V,9,V,7,V,7,V,8,V,7,V,8,V,9,V,9,V,16,V,12,V,6,V,9,V,11,V,10,V,15,V,19,V,20,V,19,V,14,V,16,V,14,V,12,V,13,V,"(41.475384, 1.9212021)"
08015021_14_20200101,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,1,01/01/2020,24,V,20,V,21,V,19,V,19,V,16,V,15,V,11,V,8,V,12,V,17,V,18,V,22,V,26,V,32,V,42,V,38,V,33,V,6,V,3,V,6,V,2,V,2,V,3,V,"(41.443985, 2.2378986)"
43013002_8_20200101,43013002,43,13,2,L'Ametlla de Mar,"Ametlla de Mar, l'",40.90248,0.8097212,34,background,rural,8,NO2,µg/m3,43013002_8_8,2020,1,1,01/01/2020,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,2,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,"(40.90248, 0.8097212)"
17184001_14_20200101,17184001,17,184,1,Santa Pau,Santa Pau,42.14328,2.5102024,496,background,rural,14,O3,µg/m3,17184001_14_6,2020,1,1,01/01/2020,7,V,9,V,9,V,8,V,11,V,11,V,9,V,9,V,9,V,6,V,10,V,14,V,13,V,25,V,29,V,33,V,43,V,34,V,24,V,15,V,11,V,8,V,6,V,7,V,"(42.14328, 2.5102024)"
08022006_14_20200101,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,1,01/01/2020,8,V,6,V,5,V,3,V,7,V,8,V,4,V,6,V,14,V,5,V,12,V,16,V,22,V,21,V,28,V,30,V,29,V,10,V,3,V,3,V,5,V,6,V,8,V,16,V,"(42.0979, 1.8482014)"
08205002_14_20200101,8205002,8,205,2,Sant Cugat del Vallès,Sant Cugat del Vallès,41.476814,2.0889983,113,background,urban,14,O3,µg/m3,08205002_14_6,2020,1,1,01/01/2020,15,V,14,V,12,V,11,V,7,V,3,V,1,V,1,V,1,V,2,V,9,V,16,V,25,V,27,V,29,V,32,V,27,V,17,V,3,V,1,V,1,V,1,V,3,V,3,V,"(41.476814, 2.0889983)"
08113007_8_20200101,8113007,8,113,7,Manresa,Manresa,41.730293,1.8253003,238,traffic,urban,8,NO2,µg/m3,08113007_8_8,2020,1,1,01/01/2020,13,V,14,V,11,V,9,V,8,V,7,V,8,V,8,V,6,V,8,V,8,V,7,V,7,V,10,V,15,V,18,V,18,V,25,V,31,V,29,V,30,V,26,V,21,V,17,V,"(41.730293, 1.8253003)"
