CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019004_10_20200112,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,12,12/01/2020,17,V,17,V,17,V,16,V,16,V,13,V,17,V,18,V,15,V,17,V,20,V,20,V,21,V,16,V,12,V,17,V,19,V,18,V,25,V,26,V,28,V,36,V,29,V,22,V,"(41.40388, 2.204501)"
08019004_10_20200113,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,13,13/01/2020,21,V,21,V,15,V,13,V,5,V,4,V,7,V,17,V,26,V,41,V,41,V,42,V,35,V,30,V,25,V,25,V,25,V,33,V,28,V,25,V,25,V,24,V,22,V,33,V,"(41.40388, 2.204501)"
08019004_10_20200105,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,5,05/01/2020,6,V,5,V,6,V,8,V,4,V,4,V,4,V,3,V,5,V,9,V,11,V,14,V,12,V,15,V,15,V,14,V,8,V,12,V,18,V,28,V,28,V,27,V,27,V,27,V,"(41.40388, 2.204501)"
08019004_10_20200115,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,15,15/01/2020,40,V,33,V,29,V,26,V,23,V,24,V,27,V,39,V,43,V,51,V,60,V,68,V,62,V,46,V,32,V,20,V,25,V,34,V,36,V,42,V,40,V,38,V,36,V,26,V,"(41.40388, 2.204501)"
08019004_10_20200116,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,16,16/01/2020,23,V,43,V,30,V,23,V,21,V,23,V,29,V,42,V,36,V,42,V,54,V,60,V,56,V,36,V,33,V,32,V,37,V,35,V,29,V,25,V,24,V,22,V,25,V,36,V,"(41.40388, 2.204501)"
08019004_10_20200117,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,17,17/01/2020,47,V,46,V,40,V,30,V,30,V,27,V,23,V,31,V,55,V,60,V,46,V,37,V,23,V,19,V,24,V,22,V,22,V,19,V,15,V,13,V,21,V,19,V,20,V,23,V,"(41.40388, 2.204501)"
08019004_10_20200118,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,18,18/01/2020,18,V,14,V,12,V,15,V,14,V,12,V,18,V,15,V,17,V,20,V,18,V,15,V,16,V,12,V,10,V,14,V,15,V,14,V,15,V,15,V,17,V,19,V,23,V,34,V,"(41.40388, 2.204501)"
08019004_10_20200109,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,9,09/01/2020,37,V,34,V,31,V,26,V,23,V,24,V,25,V,33,V,43,V,59,V,58,V,82,V,42,V,27,V,23,V,21,V,24,V,27,V,24,V,22,V,17,V,18,V,16,V,20,V,"(41.40388, 2.204501)"
08019004_10_20200119,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,19,19/01/2020,38,V,34,V,26,V,18,V,14,V,12,V,6,V,3,V,7,V,11,V,17,V,20,V,12,V,13,V,13,V,14,V,20,V,25,V,16,V,15,V,16,V,13,V,13,V,11,V,"(41.40388, 2.204501)"
08019004_10_20200120,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,20,20/01/2020,16,V,11,V,10,V,9,V,10,V,14,V,15,V,21,V,23,V,30,V,27,V,30,V,31,V,25,V,26,V,28,V,20,V,16,V,14,V,17,V,13,V,14,V,9,V,8,V,"(41.40388, 2.204501)"
